id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
138381,Bed & Breakfast La California kudu,675584,Mary,,Sillery,46.76843,-71.26636,Private room,145,2,175,2022-09-05,1.25,3,339,17,
198548,Fabulous view - Central - Ideal work from home,960772,Marianne,,Saint-Roch,46.81169,-71.22522,Entire home/apt,150,30,54,2022-09-30,0.40,1,184,3,
214967,Au bord du fleuve/Beach house,1110010,Julie,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.80286,-71.21271,Private room,93,3,191,2022-10-27,1.52,1,63,19,
268812,Apartment Old city Quebec condo,1408583,Émilie,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81023,-71.21082,Entire home/apt,40,30,77,2019-02-07,0.57,1,0,0,
330502,Home sweet home!,1686119,Claire,,Vieux-Moulin,46.85134,-71.21403,Entire home/apt,89,3,33,2016-09-18,0.25,1,70,0,
348647,La Maison Lafleur Old -Quebec bnb#4,1764323,Gilles,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81505,-71.20587,Private room,178,2,172,2022-10-23,1.31,2,52,13,125930
361573,la maison lafleur  bnb # 3,1764323,Gilles,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.8157,-71.20504,Private room,140,2,72,2022-09-18,0.56,2,19,2,125930
496101,Maison dans un cartier tranquille,2450362,Rabia,,Pointe-de-Sainte-Foy,46.76336,-71.3205,Entire home/apt,100,32,0,,,3,365,0,
502417,Centennial townhouse 1915- No CITQ 138600,2479300,Marie-Denise,,Saint-Jean-Baptiste,46.80636,-71.22687,Entire home/apt,95,1,193,2022-10-31,1.53,5,240,15,
517628,Entire Townhouse on Historic rue Champlain,2216595,Jennifer,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.80552,-71.20696,Entire home/apt,459,2,28,2022-08-21,0.68,1,16,9,
588889,Waterfront in Quebec City,2904660,Mariane,,Lac-Saint-Charles,46.93219,-71.38034,Entire home/apt,300,7,7,2022-07-23,0.10,2,0,1,
652744,Vintage Artistic  entire flat 2.5 - No C!TQ 138600,2479300,Marie-Denise,,Saint-Jean-Baptiste,46.80771,-71.22705,Entire home/apt,65,2,136,2022-10-25,1.09,5,234,14,
652815,The Québécoise   No d'établissement 138600,2479300,Marie-Denise,,Saint-Jean-Baptiste,46.80644,-71.2265,Private room,70,2,122,2022-11-27,0.98,5,240,18,
652950,SUPER VIEW  on the city- CITQ 138600,2479300,Marie-Denise,,Saint-Jean-Baptiste,46.80691,-71.22627,Private room,74,2,100,2022-09-05,0.80,5,206,14,
659635,Confortable TWIN BEDS with artistic walls,2479300,Marie-Denise,,Saint-Jean-Baptiste,46.80772,-71.22651,Private room,74,2,102,2022-10-09,0.82,5,206,12,
661569,B&B La California la femme au chapeau,675584,Mary,,Sillery,46.76978,-71.26591,Hotel room,145,2,91,2022-08-14,0.79,3,339,12,
760018,Bohème Contemporaine w parking - Citq#301838,4005779,Marie-Christine,,Vieux-Limoilou,46.82868,-71.22634,Entire home/apt,100,30,84,2022-06-04,0.69,1,17,9,
878309,Large and sunny apartment,4598359,Agnes,,Sillery,46.78341,-71.25123,Entire home/apt,75,32,30,2022-01-06,0.26,2,160,1,
878904,Charming studio,4598359,Agnes,,Sillery,46.7817,-71.25042,Entire home/apt,50,32,20,2022-08-31,0.17,2,4,1,
896581,"Chambre dans Québec, maison vue sur le Fleuve",4646399,Mélody,,Cap-Rouge,46.74721,-71.35105,Entire home/apt,156,2,6,2019-07-15,0.05,2,365,0,
975749,appart central avec parking 6 pers.,3704617,Atnae Et Pascal,,Saint-Sacrement,46.79359,-71.25751,Entire home/apt,75,29,49,2018-08-09,0.42,1,211,0,
997400,Lovely and comfy flat - Two-Bedroom & Free parking,5480680,Adriana,,Chutes-Montmorency,46.88356,-71.17293,Entire home/apt,114,1,550,2022-11-24,4.71,1,83,67,
1001559,Modern Montcalm condo (private parking),5508181,Simon,,Saint-Jean-Baptiste,46.80631,-71.22715,Entire home/apt,200,2,28,2022-11-06,0.53,1,25,10,302754
1014369,Pretty 4 fully furnished rooms,5580354,Jennifer,,Saint-Sauveur,46.81208,-71.23457,Entire home/apt,850,30,255,2022-06-30,2.16,1,48,3,
1094871,"Perfect location, heart of Qc City!",6015223,Guillaume,,Saint-Jean-Baptiste,46.80669,-71.22328,Entire home/apt,95,3,140,2019-09-02,1.24,1,0,0,
1103650,"3 bdr Home Old Quebec, Vieux-Quebec, 2 parkings",6060744,Sophie,,Saint-Jean-Baptiste,46.80844,-71.22057,Entire home/apt,299,6,37,2022-09-20,0.32,1,338,15,
1240632,Sunny and quietRoom to rent monthly,6212858,Katia,,Duberger-Les Saules,46.80802,-71.33486,Private room,17,31,10,2022-06-05,0.11,6,269,1,
1486117,Magnifique chambre Petit-Champlain,7927151,Denis,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81528,-71.20141,Private room,140,2,163,2022-10-02,1.44,6,36,17,197621
1486498,Magnificient room in historic Building Old Quebec,7927151,Denis,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81271,-71.20454,Private room,158,2,205,2022-11-13,1.88,6,31,13,197621
1486966,Cozy Room Petit-Champlain,7927151,Denis,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81294,-71.20367,Private room,119,2,168,2022-08-01,1.49,6,0,4,197621
1487080,Magnificient room Petit Champlain,7927151,Denis,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81398,-71.203,Private room,142,2,150,2022-08-14,1.33,6,25,8,197621
1487383,Amazing Appartment with a stunning view,7927151,Denis,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81076,-71.2064,Entire home/apt,199,2,248,2022-10-23,2.19,6,42,20,197621
1502540,big room first floor quiet clean,6212858,Katia,,Duberger-Les Saules,46.80725,-71.3353,Private room,18,31,3,2022-10-11,0.05,6,68,2,
1516068,Chambre dans maison privée,6137330,André,,Sillery,46.78447,-71.25825,Private room,21,32,22,2022-07-09,0.21,3,224,1,
1577452,Chambre II. Université Laval<-10min ->Vieux Québec,8384168,Irina,,Sillery,46.78385692043639,-71.24780408465574,Private room,45,1,10,2022-09-11,2.68,2,15,10,
1635571,Spacious room - 2 DOUBLE BEDS,8687028,Nicola,,Maizerets,46.83739,-71.22299,Private room,70,1,173,2022-10-03,1.66,9,0,21,
1645445,AMAZING 2STORIES CONDO IN OLDQUEBEC,8732163,Joe,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81568,-71.20777,Entire home/apt,196,32,114,2022-08-01,1.16,2,365,1,
1683632,appartement,8895388,Richard,,Saint-Jean-Baptiste,46.80696,-71.22751,Entire home/apt,150,2,104,2022-09-10,0.95,1,343,12,
1851589,Bright room near parc for skiing,8687028,Nicola,,Maizerets,46.83672,-71.22148,Private room,76,1,89,2022-10-23,0.85,9,38,31,
1979239,Zen Room downtown Qc City,10214782,Véronika,,Saint-Sauveur,46.81187,-71.23208,Private room,65,1,390,2022-12-04,3.58,3,80,74,
2027990,"spacious, renovated room downtown 2",3927227,Paul,,Saint-Sacrement,46.79181,-71.24852,Private room,18,30,34,2022-08-08,0.31,2,81,4,
2076200,Modern with cachet-Condo Old Quebec,8732163,Joe,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81416,-71.20769,Entire home/apt,182,32,80,2022-11-01,0.74,2,309,6,
2165708,Chambre chaleureuse dans un logement lumineux,10969787,Julie-Anne,,Maizerets,46.84047,-71.21721,Private room,60,30,18,2015-08-10,0.17,2,0,0,
2203513,Cozy Studio in Central Quebec | Furnished,2874168,Brigitte / Ghislain,,Saint-Sacrement,46.79546,-71.2465,Entire home/apt,60,32,32,2022-08-06,0.36,1,155,3,
2578139,Large private room,6825502,André,,Sillery,46.78285,-71.25946,Private room,21,32,26,2021-01-09,0.25,2,231,0,
2691114,Jumelé à louer - Ville de Québec,13773452,Julie,,Neufchâtel-Est/Lebourgneuf,46.847672,-71.331841,Entire home/apt,121,30,38,2022-10-16,0.38,1,1,6,
2719825,"Apartment, room  basement",13891705,Daniel,,Maizerets,46.83823,-71.23241,Entire home/apt,28,2,27,2016-07-11,0.27,2,0,0,
2803587,Quebec city Loft /appartement,14339917,Tony,,Saint-Roch,46.813812,-71.225235,Entire home/apt,72,1,497,2022-12-07,4.81,1,75,66,
2815533,Heart of Old Quebec,14402481,Jacques,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81158,-71.21166,Entire home/apt,55,32,10,2022-09-05,0.29,1,226,3,
2854775,Littoral's Condo | Old Quebec and River view,14594594,Jonathan,,Quartier 5-4,46.85389,-71.18559,Hotel room,239,4,11,2022-09-04,0.12,5,347,1,
2914674,TRES GRANDE CHAMBRE LIT QUEEN au coeur de Québec,14855211,Maite,,Saint-Sauveur,46.8104,-71.23502,Private room,95,32,21,2019-08-11,0.23,2,363,0,
2930811,The most chosen Airbnb room in Quebec city,14966026,Maxim,,Saint-Sauveur,46.80956,-71.2417,Private room,71,1,1056,2022-11-23,10.32,3,59,111,287066
2958332,Chambre dans appartement coloré avec chat,14855211,Maite,,Saint-Sauveur,46.81004,-71.23538,Private room,50,32,70,2018-11-23,0.76,2,203,0,
3028706,Old-Port of Quebec city,15427139,Lyse,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.816685,-71.209061,Entire home/apt,54,31,7,2022-04-30,0.15,3,77,2,
3101045,1 bedroom apartment near Old Quebec,1646154,Dimitri,,Saint-Sauveur,46.81357,-71.23875,Entire home/apt,27,60,25,2022-08-31,0.24,9,257,3,
3110790,Large family room,8687028,Nicola,,Maizerets,46.83647,-71.22146,Private room,81,1,206,2022-12-05,2.03,9,26,45,
3111227,Sleeping in the tower!,8687028,Nicola,,Maizerets,46.8365,-71.22211,Private room,76,1,151,2022-11-26,1.50,9,40,61,
3111369,"Room ""Altana"" with terrace and private bathtub",8687028,Nicola,,Maizerets,46.83732,-71.22301,Private room,71,1,71,2021-07-15,0.70,9,39,0,
3111553,Romantic tower room,8687028,Nicola,,Maizerets,46.83663,-71.22149,Private room,70,1,414,2022-11-15,4.34,9,0,120,
3111625,Cozy room with terrace access,8687028,Nicola,,Maizerets,46.83695,-71.22303,Private room,95,1,35,2021-09-06,0.35,9,0,0,
3111690,The Chick Shack,8687028,Nicola,,Maizerets,46.83726,-71.22245,Private room,65,1,52,2021-09-21,0.60,9,0,0,
3147232,Amazing location and view,6012904,Frédéric,,Saint-Jean-Baptiste,46.81129,-71.22268,Entire home/apt,149,30,106,2022-10-14,1.04,1,40,23,301616
3479387,Fabulous 2bed 3rd floor condo + cute cat,17526167,Catou,,Montcalm,46.8003,-71.2362,Entire home/apt,100,3,32,2019-12-27,0.31,1,0,0,
3486441,Au coeur de la vie Limoilienne,17555242,Julien-Pierre,,Vieux-Limoilou,46.82527,-71.2314,Entire home/apt,110,31,47,2022-10-07,0.46,1,0,3,
3499399,CONDO PLEIN CENTRE-VILLE,12810887,Rémy,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81093,-71.21275,Entire home/apt,100,30,58,2022-07-31,0.57,1,311,2,279646
3566946,"Unifamiliale, RDC & Basement, 6 1/2",13891705,Daniel,,Maizerets,46.83815,-71.23202,Entire home/apt,28,2,20,2016-03-27,0.20,2,0,0,
3592334,House for rent,3197450,Pierre,,Cité Universitaire,46.78257,-71.30341,Entire home/apt,129,5,21,2022-08-19,0.23,1,0,3,
3599705,Beautiful Down Town Loft - with parking,18136166,Mathieu,,Saint-Roch,46.81011,-71.22936,Entire home/apt,104,31,89,2022-11-01,0.88,1,269,8,
3678120,Chambre au centre de la Haute-Ville (32 nuits min),18685843,Marielle,,Saint-Jean-Baptiste,46.8064,-71.22553,Private room,41,32,4,2022-11-06,0.04,2,336,1,
3678952,Chambre au coeur de la Haute-Ville (32 nuits min.),18685843,Marielle,,Saint-Jean-Baptiste,46.80562,-71.22367,Private room,41,32,6,2022-08-01,0.06,2,315,1,
3731628,Great Space in Heart of Old Town,19070558,Peter,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81426,-71.20722,Entire home/apt,85,2,475,2022-12-06,4.69,1,266,91,
3731999,"Cosy apt Quebec downtown, sleeps 4",1646154,Dimitri,,Saint-Sauveur,46.81434,-71.23963,Entire home/apt,44,45,33,2022-11-30,0.33,9,344,2,
3827476,Maison située dans le Vieux-Québec-175490,19694974,Jean-Patrick,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.80202,-71.20967,Entire home/apt,460,4,22,2022-10-06,0.23,2,167,7,175490
3898375,Beau condo près du fleuve!,20070021,Jean-Francois,,Saint-Louis,46.75267,-71.30948,Entire home/apt,57,365,23,2016-02-18,0.23,1,179,0,
4077412,"Chambre privée et +, près de tout !",21149027,Marc,,Saint-Sauveur,46.81136,-71.23334,Private room,30,1,378,2020-03-11,4.09,1,0,0,
4215307,★★★★ Downtown Quebec city. ★★★★,3201898,Francois,,Saint-Sauveur,46.81044,-71.23905,Entire home/apt,48,1,563,2022-11-24,6.06,1,336,64,
4240987,Non disponible.,22006491,Jean Pierre,,Vieux-Limoilou,46.82429,-71.22344,Entire home/apt,29286,5,15,2016-06-18,0.16,1,0,0,
4276973,Forest Loft in Downtown Quebec City,19909639,Louis,,Saint-Roch,46.81413650512695,-71.22560119628906,Entire home/apt,103,1,616,2022-09-05,6.20,49,223,5,
4286898,Pied-à-terre au Centre-Ville de Qc,22254953,Rod,,Maizerets,46.83958,-71.22535,Private room,240,28,0,,,1,0,0,
4493821,FURNISHED CONDO IN QUEBEC GRANDE AL,16066615,Maxim,,Montcalm,46.79572,-71.23553,Entire home/apt,50,30,22,2019-06-15,0.23,1,0,0,
4585669,Littoral - Signature | 2 Queens,14594594,Jonathan,,Quartier 5-4,46.85574,-71.18663,Hotel room,139,1,92,2022-10-11,0.98,5,362,20,
4613578,2 and a half in the center-life of Quebec,23901714,Reynald,,Saint-Louis,46.77217,-71.29623,Entire home/apt,79,2,305,2022-12-02,3.19,1,109,66,
4718514,Charming apt inside the walled city,24372136,Audrey,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81534,-71.2087,Entire home/apt,92,2,335,2022-11-27,3.45,1,327,55,
4820844,"Vivre le Vieux-Québec, sur place !",24819170,Joan Et Jean-Michel,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.815,-71.20631,Entire home/apt,34,1000,1,2015-09-30,0.01,4,365,0,
4962994,Le logis de Charlotte,25584124,Farrah,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81052,-71.20643,Entire home/apt,350,3,39,2022-10-25,2.34,1,0,27,303132
4995782,"Penthouse with terrace, downtown Quebec, parking$",12849225,Nicole,,Saint-Jean-Baptiste,46.81187,-71.21766,Entire home/apt,125,30,45,2020-01-02,0.48,1,364,0,
5051170,2 bedroom in Quebec downtown,1646154,Dimitri,,Saint-Sauveur,46.81483,-71.23875,Entire home/apt,39,40,30,2022-10-10,0.32,9,312,9,
5094755,Beautiful house near services.,26324945,Marie-Helene,,Saint-Sacrement,46.79017,-71.25455,Entire home/apt,259,2,18,2019-08-13,0.19,1,0,0,
5100852,Charmante maison familiale au centre-ville,11164340,Marie-Claire,,Saint-Sauveur,46.81267,-71.23883,Entire home/apt,150,5,10,2019-12-30,0.15,1,0,0,
5116801,Appartement 4 pièces bien situé,26442079,Karène,,Jésuites,46.85929,-71.26165,Entire home/apt,51,32,3,2022-10-10,0.68,1,201,3,
5245727,chambre no 1..,15391280,Gaetan,,Saint-Jean-Baptiste,46.80775,-71.22407,Private room,116,1,4,2022-07-10,0.07,2,202,1,2248624407
5442064,"Home near downtown Quebec, Spa, jacuzzi and wine.",28224563,Martine,,Pointe-de-Sainte-Foy,46.76392,-71.32674,Entire home/apt,325,3,64,2022-08-23,0.71,1,96,10,287206
5487325,Chambre privée dans une maison,6825502,André,,Sillery,46.7837,-71.25888,Private room,21,32,9,2022-11-25,0.12,2,162,1,
5495123,"Petit pied-à-terre, Vieux-Québec",24819170,Joan Et Jean-Michel,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81628,-71.20766,Entire home/apt,29,1000,1,2015-08-15,0.01,4,365,0,
5517202,Au coeur du Quartier des Arts!,5758591,Marie-Lou,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.79403,-71.22944,Entire home/apt,325,31,39,2022-09-01,0.59,3,284,3,
5536939,Grand condo Vieux-Québec*,4252877,Nathalie,,Saint-Jean-Baptiste,46.81246,-71.21678,Entire home/apt,65,30,24,2022-10-10,0.27,4,22,3,
5564215,Appartement charmant - Vieux-Québec,28843000,Mir,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81665,-71.2143,Entire home/apt,200,3,154,2022-08-31,1.64,1,177,9,
5604407,Chambre tranquille,6212858,Katia,,Duberger-Les Saules,46.80757,-71.33553,Private room,18,31,8,2022-11-15,0.13,6,331,2,
5769086,Les charmes du Vieux-Québec,29929740,Laurence,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81002828989537,-71.20702978223562,Entire home/apt,40,30,0,,,1,309,0,
6055191,Superbe loft à Québec,5099838,Maria,,Saint-Jean-Baptiste,46.81045,-71.22426,Entire home/apt,80,32,27,2022-10-01,0.30,1,364,4,
6091563,Cozy pied à terre in Québec city,31612995,David,,Saint-Sauveur,46.80904,-71.23455,Entire home/apt,88,30,9,2016-08-13,0.10,1,77,0,
6100766,Old- port Loft design,15427139,Lyse,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81579,-71.20808,Entire home/apt,40,31,14,2022-11-19,0.18,3,179,5,
6167471,CHARMANT loft dans le Vieux-Port de Québec,18684279,Luc,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.8171,-71.2033,Entire home/apt,113,2,241,2022-11-20,2.60,1,59,85,
6232233,1 room downtown apartment,1646154,Dimitri,,Saint-Sauveur,46.81471,-71.2383,Entire home/apt,28,40,22,2022-07-01,0.25,9,343,1,
6446117,"Flat to share, 5km from Old Québec",33655018,Guillaume,,Saint-Sacrement,46.79247,-71.26534,Private room,50,32,7,2019-09-07,0.08,1,0,0,
6459264,Logement de luxe avec vue incroyable,15649086,Odette,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81367,-71.21705,Entire home/apt,110,31,6,2022-10-29,0.37,1,245,3,
6524235,Grande maison Mid-century avec immense piscine,34120968,Eric,,Jésuites,46.86266118599334,-71.26646216958761,Entire home/apt,250,3,5,2022-08-18,1.03,1,0,5,
6746347,Clean Cozy Furnished Apartment (Minimum 60 days),15960979,Alain,,Saint-Jean-Baptiste,46.80815,-71.22858,Entire home/apt,48,60,125,2022-08-06,1.50,1,134,2,
6774160,Town house - 15min to old Quebec,21426679,Élie,,Lairet,46.83125,-71.2414,Entire home/apt,140,5,22,2022-08-23,0.24,1,0,3,
6852451,Loft with river view,35884345,Marc,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.80395,-71.20924,Entire home/apt,50,60,82,2022-09-01,1.24,1,75,3,
6870833,Great apartment in perfect location,35939583,Gilles,,Saint-Jean-Baptiste,46.81075,-71.22379,Entire home/apt,74,2,381,2022-11-28,4.21,1,331,93,
6889708,"440#1 Logement rénové , très bien situé",36023622,André,,Saint-Jean-Baptiste,46.80769,-71.22086,Entire home/apt,40,31,30,2022-10-31,0.59,4,247,3,
6897654,"Near Old City, 2 rooms, free parkingt, Wifi",36143188,Monique,,Vieux-Limoilou,46.82798,-71.22948,Entire home/apt,60,31,5,2019-06-15,0.07,1,256,0,
6947321,Maison espace interessant Quebec,36425487,Bernard,,Neufchâtel-Est/Lebourgneuf,46.85548,-71.2901,Entire home/apt,275,1,198,2022-11-22,2.19,1,279,20,
6970133,Littoral - Signature Plus | 1 Queen,14594594,Jonathan,,Quartier 5-4,46.85548,-71.1852,Hotel room,169,1,33,2022-11-06,0.37,5,365,3,
7003871,Spacious room Ensuite Garden,17286960,Caroline,,Saint-Jean-Baptiste,46.81185,-71.21827,Private room,165,3,7,2022-06-20,0.08,3,0,1,
7006697,Le garage,36730732,Lyne,,Quartier 4-5,46.85369,-71.26325,Entire home/apt,76,2,189,2022-11-01,2.09,2,166,43,
7113966,Perfect space in heart of Quebec,18452968,Charlotte,,Saint-Jean-Baptiste,46.80931,-71.22244,Entire home/apt,63,2,300,2022-12-02,3.32,1,339,39,
7114524,Studio in Downtown Quebec City,14846888,Jaime And Napoleon,,Saint-Roch,46.81638,-71.21975,Entire home/apt,100,32,145,2019-09-24,1.60,2,333,0,
7129699,Great loft in Perfect Location,37341683,Raphael,,Saint-Jean-Baptiste,46.81077,-71.22206,Entire home/apt,58,2,415,2022-12-06,4.61,1,297,89,
7140600,Close to Laval University!!!!,7006458,Odile,,Cité Universitaire,46.78711,-71.26385,Entire home/apt,35,30,58,2022-08-07,0.64,2,185,3,
7219875,Québec City (***) Superbe Sécuritaire Tranquille ;,17893514,Lauraine,,Cité Universitaire,46.7764,-71.30049,Private room,41,33,60,2019-05-25,0.67,4,350,0,
7297667,Montly rental - Charming apart in the Old Quebec,20752850,Louise,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81523,-71.20844,Entire home/apt,28,31,44,2022-11-02,0.49,1,99,1,
7401321,In the heart of Quebec City **Free Parking**,14846888,Jaime And Napoleon,,Saint-Roch,46.81497,-71.22017,Entire home/apt,125,32,172,2020-02-10,1.91,2,242,0,
7430769,Quebec City Condo in the Vieux-Port,7096839,Frances,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81437,-71.2029,Entire home/apt,127,32,51,2021-11-17,0.66,1,174,0,
7479188,"Luxurious Apartment, Private Parking & Rooftop",3813034,Rachel,,Saint-Sauveur,46.8094,-71.23117,Entire home/apt,205,3,136,2022-10-11,1.52,1,64,13,
7491399,"Private room, living room and wc",39234978,Mario,,Duberger-Les Saules,46.82429,-71.28873,Private room,94102,3,220,2022-10-09,2.45,1,148,27,287151
7513008,Large Quiet Room in Sainte-Foy,10023073,Kevin,,Cité Universitaire,46.77829,-71.28722,Private room,32,30,7,2021-09-30,0.09,4,0,0,
7633284,Littoral's Suite | Old Quebec and River view,14594594,Jonathan,,Quartier 5-4,46.85688,-71.18675,Hotel room,199,1,2,2019-10-12,0.05,5,363,0,
7651759,"Private appartment in old Sillery, Quebec",12208568,Jean-Michel,,Sillery,46.77585,-71.2461,Entire home/apt,38,32,42,2022-10-03,0.47,2,67,2,
7676538,Magnifique condo Vieux-Québec,40309767,Frédéric,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81518,-71.21316,Entire home/apt,55,30,14,2022-11-12,0.16,1,154,3,
7677054,Chambre immense bien éclairée! Près de tout!,17893514,Lauraine,,Cité Universitaire,46.77689,-71.301758,Private room,52,33,85,2021-08-31,0.95,4,351,0,
7763317,"Québec city, confortable, lavabo et bien située;)",17893514,Lauraine,,Cité Universitaire,46.7765,-71.30077,Private room,48,33,43,2022-08-07,0.48,4,350,1,
7763332,Splendid loft in Old Quebec,17266932,Chantale Et Robert,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81607,-71.20984,Entire home/apt,190,1,506,2022-12-05,5.67,2,303,61,301559
7800019,Au cœur de Limoilou 297848,479478353,Hélène,,Vieux-Limoilou,46.82073,-71.22398,Entire home/apt,161,2,99,2022-10-02,1.12,4,315,11,
7854562,Bienvenue Chez moi,41314384,Patronnecg,,Saint-Roch,46.8127,-71.22958,Private room,80,2,0,,,1,0,0,
7899556,House in the heart of Quebec City,41651776,Mohamed,,Cité Universitaire,46.77472,-71.28475,Entire home/apt,140,1,13,2019-02-23,0.15,1,192,0,
7928437,Spacious condo in the heart of the SJB district,2834526,Cathy,,Saint-Jean-Baptiste,46.80852,-71.22091,Entire home/apt,379,2,12,2018-03-10,0.13,1,310,0,
7966751,Condo Vieux-Québec 2 chambres/mois,28326938,François,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81457,-71.20194,Entire home/apt,75,32,2,2022-07-02,0.28,1,223,2,
7968592,Littoral - Signature Plus | 2 Queens,14594594,Jonathan,,Quartier 5-4,46.85484,-71.18675,Hotel room,169,1,32,2022-10-09,0.44,5,361,8,
8114491,Charmant studio au coeur de Québec,9846608,Yves,,Saint-Jean-Baptiste,46.80872,-71.22343,Entire home/apt,125,31,196,2022-09-15,2.22,1,164,2,
8147621,Logement  près du centre  videotron,43017387,Simon,,Vanier,46.82196,-71.26746,Entire home/apt,36,30,97,2020-04-30,1.25,1,225,0,
8173540,"Cozy n Unique, DOWNTOWN OLD QUEBEC",22697179,Vincent,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.80564,-71.21806,Entire home/apt,105,2,374,2022-10-15,4.25,2,78,48,
8308704,Grand et Spacieux Condo 4½,43805761,Alexa,,Quartier 5-2,46.88393,-71.20901,Entire home/apt,97,1,4,2018-08-05,0.05,1,121,0,
8341363,"Grand appartement, lit queen, parking , WIFI,cable",43967589,Claude,,Saint-Jean-Baptiste,46.811043,-71.222084,Entire home/apt,163,2,648,2022-10-30,7.36,1,7,48,302598
8570231,Apartment overlooking the river in Quebec city,12208568,Jean-Michel,,Sillery,46.77549,-71.24525,Entire home/apt,154,1,23,2022-08-28,0.29,2,4,3,CITQ # 310525
8626868,Spacieuse suite ancestrale avec murs de pierre,8687028,Nicola,,Maizerets,46.83872,-71.22119,Hotel room,75,1,18,2022-10-25,0.81,9,0,9,
8663249,Logement aux portes de la nature,45516436,Clement,,Loretteville,46.86142,-71.36017,Private room,62,2,53,2022-12-04,0.85,1,302,15,306546
9155937,"Vivre le Vieux-Québec, tout en confort",24819170,Joan Et Jean-Michel,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81621,-71.20741,Entire home/apt,48,1000,0,,,4,365,0,
9370597,Nichée dans une oasis de verdure !,42248799,Fabienne,,Loretteville,46.85865,-71.3623,Private room,49,3,20,2020-02-19,0.24,1,31,0,
9477639,Condo douillet près des Plaines (terrasse+parking),49123843,Vincent,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.80338,-71.22158,Entire home/apt,132,31,40,2022-10-02,0.47,1,110,2,
9522015,Le Zen,5166752,Alex,,Saint-Sauveur,46.80596,-71.23854,Entire home/apt,300,5,46,2020-01-02,0.54,1,5,0,
9630642,Superbe appartement bien localisé,36052925,Emilie,,Saint-Sacrement,46.78737,-71.25648,Private room,40,7,2,2017-01-17,0.03,1,0,0,
9664814,Studio #5 - fully furnished+balcony- Old Qc,49947368,Isabelle,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81197,-71.21122,Entire home/apt,76,30,12,2022-09-02,0.16,15,0,3,294596
9693817,La Classique,50063718,Claire,,Notre-Dame-des-Laurentides,46.91233,-71.33694,Private room,60,1,115,2022-10-30,1.47,2,293,57,
9726354,"Suite 101 - in the heart of Old-Qc, Park avail ($)",49947368,Isabelle,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81194,-71.21204,Entire home/apt,175,30,4,2022-07-31,0.23,15,127,1,
9863685,La Romantique,50063718,Claire,,Notre-Dame-des-Laurentides,46.91236,-71.33875,Private room,60,1,136,2022-10-26,1.75,2,293,56,
9888402,2 Bedrooms near Laval's University,10214782,Véronika,,Sillery,46.78202,-71.25759,Private room,89,3,97,2022-10-28,1.16,3,85,18,
10154710,"entire clean, quiet and cozy house in Quebec city",52118298,Min,,Saint-Louis,46.77322,-71.29369,Entire home/apt,109,1,368,2022-11-06,4.38,1,0,71,288341
10247268,Les Immeubles Charlevoix - Le Quai St-André 1175,34462857,Les Immeubles Charlevoix Courtier,,Vieux-Québec/Cap-Blanc/Colline parlementaire,46.81683,-71.20489,Entire home/apt,173,2,34,2022-09-02,0.41,59,338,12,
